Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	None	None	None	None	None	Streptomycin	Streptomycin	Streptomycin	Streptomycin	Streptomycin
k__Bacteria;__;__;__;__;__	221.0	309.0	359.0	426.0	698.0	1.0	1.0	1.0	1.0	7.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	60.0	79.0	101.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	1.0	1.0	21.0	33.0	63.0	1.0	1.0	14.0	17.0	206.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	50.0	125.0	138.0	145.0	151.0	2165.0	2765.0	3577.0	3999.0	5165.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	1.0	10.0	22.0	55.0	63.0	12.0	72.0	74.0	169.0	279.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1.0	67.0	70.0	89.0	205.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	275.0	361.0	363.0	438.0	507.0	21.0	93.0	111.0	149.0	550.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12	12.0	49.0	59.0	77.0	93.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	2159.0	2384.0	2942.0	3145.0	4296.0	187.0	678.0	833.0	837.0	1183.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	29.0	56.0	65.0	76.0	90.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]	1.0	137.0	176.0	203.0	230.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	23.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	29.0	43.0	86.0	89.0	91.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	1.0	70.0	75.0	80.0	128.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;__;__;__;__	1.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	57.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	1.0	25.0	37.0	41.0	59.0	1.0	1.0	1.0	9.0	92.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__	177.0	193.0	309.0	386.0	398.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	1.0	1.0	15.0	48.0	156.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__	1.0	1.0	13.0	15.0	16.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	17.0	17.0	31.0	39.0	41.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__	765.0	1127.0	1515.0	1775.0	1916.0	1.0	1.0	1.0	14.0	25.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	1.0	1.0	1.0	1.0	17.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium	1.0	1.0	1.0	1.0	13.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	1.0	1.0	13.0	20.0	58.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	1.0	1.0	36.0	43.0	125.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	1.0	1.0	1.0	27.0	48.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__	75.0	77.0	89.0	112.0	150.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	17.0	24.0	63.0	81.0	96.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ethanoligenens	1.0	1.0	1.0	1.0	27.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	302.0	378.0	575.0	680.0	853.0	1.0	1.0	1.0	14.0	37.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	22.0	24.0	24.0	63.0	97.0	1.0	1.0	1.0	40.0	95.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];__	10.0	11.0	12.0	13.0	13.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__	1.0	5.0	7.0	13.0	14.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;__	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	4.0
