index,k__Bacteria;__;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,k__Bacteria;p__Cyanobacteria;c__4C0d-2,k__Bacteria;p__Deferribacteres;c__Deferribacteres,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Erysipelotrichi,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__TM7;c__TM7-3,k__Bacteria;p__Tenericutes;c__Mollicutes,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,AntibioticUsage,File_ID
WT.day3.11,6.0,0.0,0.0,5248.0,0.0,0.0,0.0,0.0,64.0,13.0,0.0,0.0,0.0,436.0,0.0,877.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_11_SRR2628505_1
WT.day3.13,0.0,0.0,78.0,6157.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,9.0,0.0,13.0,0.0,1224.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_13_SRR2628506_1
WT.day3.14,0.0,0.0,59.0,4129.0,22.0,0.0,0.0,0.0,0.0,39.0,3.0,34.0,0.0,40.0,0.0,2448.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_14_SRR2627471_1
WT.day3.15,0.0,0.0,100.0,2397.0,0.0,0.0,0.0,0.0,91.0,36.0,0.0,0.0,0.0,20.0,0.0,3468.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_15_SRR2628507_1
WT.day3.9,0.0,0.0,0.0,5202.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,557.0,0.0,375.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_9_SRR2628504_1
WT.unt.1,425.0,0.0,0.0,3234.0,0.0,85.0,127.0,0.0,36.0,2884.0,0.0,0.0,9.0,70.0,74.0,0.0,45.0,8.0,26.0,None,16S_WT_unt_1_SRR2627457_1
WT.unt.2,308.0,0.0,0.0,4274.0,0.0,42.0,79.0,0.0,0.0,1984.0,0.0,0.0,22.0,54.0,56.0,0.0,20.0,6.0,4.0,None,16S_WT_unt_2_SRR2627461_1
WT.unt.3,697.0,6.0,0.0,5387.0,0.0,88.0,0.0,0.0,58.0,1502.0,27.0,0.0,11.0,171.0,46.0,0.0,57.0,47.0,7.0,None,16S_WT_unt_3_SRR2627463_1
WT.unt.4,358.0,0.0,0.0,2777.0,0.0,90.0,74.0,0.0,40.0,3663.0,0.0,0.0,7.0,35.0,81.0,0.0,37.0,0.0,17.0,None,16S_WT_unt_4_SRR2627464_1
WT.unt.7,220.0,0.0,9.0,3817.0,0.0,28.0,69.0,11.0,24.0,3220.0,0.0,0.0,0.0,45.0,80.0,0.0,69.0,0.0,83.0,None,16S_WT_unt_7_SRR2627465_1
