index,k__Bacteria;__;__;__;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,k__Bacteria;p__Firmicutes;__;__;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae],k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Proteobacteria;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,AntibioticUsage,File_ID
WT.day3.11,6.0,0.0,0.0,13.0,3576.0,278.0,0.0,549.0,832.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,436.0,0.0,863.0,14.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_11_SRR2628505_1
WT.day3.13,0.0,0.0,78.0,0.0,5164.0,168.0,0.0,148.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,1219.0,5.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_13_SRR2628506_1
WT.day3.14,0.0,0.0,59.0,0.0,2764.0,73.0,0.0,110.0,1182.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,3.0,34.0,0.0,12.0,28.0,0.0,2431.0,17.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_14_SRR2627471_1
WT.day3.15,0.0,0.0,100.0,16.0,2164.0,11.0,0.0,20.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3463.0,5.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_15_SRR2628507_1
WT.day3.9,0.0,0.0,0.0,205.0,3998.0,71.0,0.0,92.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,375.0,0.0,0.0,0.0,0.0,Streptomycin,16S_WT_day3_9_SRR2628504_1
WT.unt.1,425.0,0.0,0.0,0.0,144.0,0.0,69.0,408.0,2383.0,55.0,175.0,0.0,85.0,127.0,0.0,0.0,36.0,308.0,0.0,0.0,0.0,38.0,1587.0,6.0,932.0,13.0,0.0,0.0,9.0,0.0,70.0,74.0,0.0,0.0,45.0,8.0,26.0,None,16S_WT_unt_1_SRR2627457_1
WT.unt.2,308.0,0.0,0.0,62.0,137.0,54.0,204.0,448.0,3144.0,89.0,136.0,0.0,42.0,79.0,0.0,0.0,0.0,192.0,14.0,0.0,0.0,16.0,1126.0,0.0,611.0,25.0,0.0,0.0,22.0,0.0,54.0,56.0,0.0,0.0,20.0,6.0,4.0,None,16S_WT_unt_2_SRR2627461_1
WT.unt.3,697.0,6.0,0.0,32.0,150.0,62.0,0.0,582.0,4295.0,64.0,202.0,0.0,88.0,0.0,0.0,0.0,58.0,176.0,0.0,15.0,12.0,16.0,846.0,0.0,421.0,16.0,27.0,0.0,11.0,0.0,171.0,46.0,0.0,0.0,57.0,47.0,7.0,None,16S_WT_unt_3_SRR2627463_1
WT.unt.4,358.0,0.0,0.0,20.0,49.0,21.0,88.0,366.0,2158.0,75.0,0.0,0.0,90.0,74.0,0.0,0.0,40.0,397.0,155.0,14.0,0.0,40.0,1981.0,0.0,1064.0,12.0,0.0,0.0,7.0,0.0,35.0,81.0,0.0,0.0,37.0,0.0,17.0,None,16S_WT_unt_4_SRR2627464_1
WT.unt.7,220.0,0.0,9.0,0.0,124.0,9.0,66.0,420.0,2941.0,28.0,229.0,0.0,28.0,69.0,11.0,0.0,24.0,385.0,47.0,12.0,0.0,30.0,1943.0,0.0,780.0,23.0,0.0,0.0,0.0,0.0,45.0,80.0,0.0,0.0,69.0,0.0,83.0,None,16S_WT_unt_7_SRR2627465_1
